time(ms)	pitch_reference	pitch_prediction	deviation
0.0	0.0	0.0	0.0
0.006	0.0	0.0	0.0
0.012	0.0	0.0	0.0
0.017	0.0	0.0	0.0
0.023	0.0	0.0	0.0
0.028999999999999998	0.0	0.0	0.0
0.035	0.0	0.0	0.0
0.040999999999999995	0.0	0.0	0.0
0.046	0.0	0.0	0.0
0.052000000000000005	0.0	0.0	0.0
0.057999999999999996	0.0	0.0	0.0
0.064	0.0	0.0	0.0
0.07	0.0	0.0	0.0
0.075	0.0	0.0	0.0
0.081	0.0	0.0	0.0
0.087	0.0	0.0	0.0
0.09300000000000001	0.0	0.0	0.0
0.099	0.0	0.0	0.0
0.10400000000000001	0.0	0.0	0.0
0.11	0.0	0.0	0.0
0.11599999999999999	0.0	0.0	0.0
0.122	0.0	0.0	0.0
0.128	0.0	0.0	0.0
0.134	0.0	0.0	0.0
0.139	0.0	0.0	0.0
0.145	0.0	0.0	0.0
0.151	0.0	0.0	0.0
0.157	0.0	0.0	0.0
0.163	0.0	0.0	0.0
0.168	0.0	0.0	0.0
0.174	0.0	0.0	0.0
0.18	0.0	0.0	0.0
0.18600000000000003	0.0	0.0	0.0
0.192	0.0	0.0	0.0
0.19699999999999998	0.0	0.0	0.0
0.203	0.0	0.0	0.0
0.209	0.0	0.0	0.0
0.215	0.0	0.0	0.0
0.221	0.0	0.0	0.0
0.226	0.0	0.0	0.0
0.23199999999999998	0.0	0.0	0.0
0.23800000000000002	0.0	0.0	0.0
0.244	0.0	0.0	0.0
0.25	0.0	0.0	0.0
0.255	0.0	0.0	0.0
0.261	0.0	0.0	0.0
0.267	0.0	0.0	0.0
0.273	0.0	0.0	0.0
0.27899999999999997	0.0	0.0	0.0
0.284	0.0	0.0	0.0
0.29	0.0	0.0	0.0
0.29600000000000004	0.0	0.0	0.0
0.302	0.0	0.0	0.0
0.308	0.0	0.0	0.0
0.313	0.0	0.0	0.0
0.319	0.0	0.0	0.0
0.325	0.0	0.0	0.0
0.331	0.0	0.0	0.0
0.337	0.0	0.0	0.0
0.342	0.0	0.0	0.0
0.348	0.0	0.0	0.0
0.354	0.0	0.0	0.0
0.36	0.0	0.0	0.0
0.366	0.0	0.0	0.0
0.37200000000000005	0.0	0.0	0.0
0.377	0.0	0.0	0.0
0.38299999999999995	0.0	0.0	0.0
0.389	0.0	0.0	0.0
0.395	0.0	0.0	0.0
0.401	0.0	0.0	0.0
0.406	0.0	0.0	0.0
0.41200000000000003	0.0	0.0	0.0
0.418	0.0	0.0	0.0
0.424	0.0	0.0	0.0
0.43	0.0	0.0	0.0
0.435	0.0	0.0	0.0
0.441	0.0	0.0	0.0
0.447	0.0	0.0	0.0
0.45299999999999996	0.0	0.0	0.0
0.45899999999999996	0.0	0.0	0.0
0.46399999999999997	0.0	0.0	0.0
0.47	0.0	0.0	0.0
0.47600000000000003	0.0	0.0	0.0
0.48200000000000004	0.0	0.0	0.0
0.488	0.0	0.0	0.0
0.493	0.0	0.0	0.0
0.499	0.0	0.0	0.0
0.505	0.0	0.0	0.0
0.511	0.0	0.0	0.0
0.517	0.0	0.0	0.0
0.522	298.88599999999997	0.0	298.88599999999997
0.528	296.296	0.0	296.296
0.534	296.296	0.0	296.296
0.54	293.33299999999997	0.0	293.33299999999997
0.546	291.385	0.0	291.385
0.551	289.661	0.0	289.661
0.557	290.41900000000004	0.0	290.41900000000004
0.563	292.297	0.0	292.297
0.569	293.615	0.0	293.615
0.575	294.933	0.0	294.933
0.58	293.289	0.0	293.289
0.586	291.644	0.0	291.644
0.5920000000000001	292.9	298.8009033203125	5.900903320312523
0.598	289.71299999999997	291.9762268066406	2.2632268066406596
0.604	288.336	302.2728271484375	13.936827148437487
0.61	288.915	286.9602355957031	1.9547644042968955
0.615	288.981	285.3074645996094	3.6735354003906195
0.621	289.303	295.36883544921875	6.065835449218753
0.627	289.625	302.2728271484375	12.6478271484375
0.633	289.948	286.9602355957031	2.987764404296854
0.639	290.27	291.9762268066406	1.7062268066406432
0.644	290.593	295.36883544921875	4.775835449218732
0.65	291.246	295.36883544921875	4.122835449218769
0.6559999999999999	290.909	293.6676330566406	2.758633056640633
0.662	290.627	291.9762268066406	1.3492268066406155
0.6679999999999999	290.66200000000003	286.9602355957031	3.7017644042969096
0.6729999999999999	291.26099999999997	291.9762268066406	0.7152268066406577
0.679	292.506	293.6676330566406	1.1616330566406532
0.685	293.089	291.9762268066406	1.1127731933593736
0.691	293.35400000000004	297.0799255371094	3.725925537109333
0.6970000000000001	292.765	290.2945861816406	2.4704138183593614
0.7020000000000001	292.69599999999997	293.6676330566406	0.9716330566406555
0.708	292.487	297.0799255371094	4.592925537109352
0.7140000000000001	292.132	291.9762268066406	0.15577319335938
0.72	291.861	288.6225891113281	3.238410888671865
0.726	291.827	293.6676330566406	1.8406330566406268
0.731	292.046	291.9762268066406	0.06977319335936727
0.737	292.522	295.36883544921875	2.8468354492187586
0.743	293.09	291.9762268066406	1.11377319335935
0.7490000000000001	293.75	293.6676330566406	0.082366943359375
0.755	295.053	293.6676330566406	1.3853669433593723
0.76	295.221	297.0799255371094	1.8589255371093714
0.7659999999999999	296.03700000000003	297.0799255371094	1.0429255371093404
0.772	296.529	295.36883544921875	1.1601645507812464
0.778	297.02099999999996	297.0799255371094	0.05892553710941684
0.784	297.145	291.9762268066406	5.168773193359357
0.789	297.131	297.0799255371094	0.051074462890596806
0.795	296.959	297.0799255371094	0.12092553710937182
0.8009999999999999	296.686	295.36883544921875	1.3171645507812286
0.807	296.413	297.0799255371094	0.6669255371093641
0.813	296.14	293.6676330566406	2.4723669433593614
0.8190000000000001	295.78	295.36883544921875	0.4111645507812227
0.8240000000000001	295.46299999999997	297.0799255371094	1.6169255371094096
0.83	295.124	295.36883544921875	0.24483544921872635
0.836	294.785	297.0799255371094	2.29492553710935
0.8420000000000001	294.553	291.9762268066406	2.5767731933593723
0.848	294.522	295.36883544921875	0.8468354492187586
0.853	294.48900000000003	297.0799255371094	2.5909255371093423
0.8590000000000001	294.592	295.36883544921875	0.7768354492187655
0.865	294.642	293.6676330566406	0.9743669433593709
0.871	295.018	293.6676330566406	1.3503669433593473
0.877	294.801	291.9762268066406	2.8247731933593627
0.882	294.819	295.36883544921875	0.5498354492187332
0.888	294.6	295.36883544921875	0.7688354492187273
0.894	294.988	297.0799255371094	2.0919255371093755
0.9	294.914	295.36883544921875	0.45483544921876273
0.9059999999999999	294.86	295.36883544921875	0.5088354492187364
0.9109999999999999	294.77099999999996	298.8009033203125	4.029903320312542
0.917	294.681	295.36883544921875	0.6878354492187668
0.9229999999999999	294.45599999999996	295.36883544921875	0.9128354492187896
0.929	294.298	290.2945861816406	4.003413818359377
0.935	294.20799999999997	293.6676330566406	0.540366943359345
0.94	294.13	293.6676330566406	0.46236694335937045
0.946	294.115	297.0799255371094	2.964925537109366
0.9520000000000001	294.781	295.36883544921875	0.5878354492187441
0.958	294.698	295.36883544921875	0.6708354492187709
0.9640000000000001	295.189	298.8009033203125	3.6119033203124786
0.9690000000000001	295.318	293.6676330566406	1.6503669433593586
0.975	295.44599999999997	298.8009033203125	3.3549033203125305
0.981	295.252	297.0799255371094	1.8279255371093655
0.987	295.058	290.2945861816406	4.763413818359368
0.993	295.496	295.36883544921875	0.1271645507812309
0.998	295.242	295.36883544921875	0.12683544921873136
1.004	295.14	295.36883544921875	0.22883544921876364
1.01	295.039	298.8009033203125	3.7619033203125127
1.016	295.35900000000004	298.8009033203125	3.4419033203124627
1.022	295.198	295.36883544921875	0.17083544921877092
1.0270000000000001	295.036	297.0799255371094	2.0439255371093736
1.033	295.655	297.0799255371094	1.4249255371094023
1.0390000000000001	295.332	295.36883544921875	0.036835449218756366
1.045	296.664	297.0799255371094	0.41592553710938773
1.051	297.675	295.36883544921875	2.3061645507812614
1.057	298.625	295.36883544921875	3.25616455078125
1.062	299.575	298.8009033203125	0.7740966796874886
1.068	300.339	298.8009033203125	1.5380966796874986
1.074	301.103	302.2728271484375	1.1698271484374914
1.08	301.867	300.5318298339844	1.3351701660156436
1.0859999999999999	302.54900000000004	302.2728271484375	0.276172851562535
1.091	302.80400000000003	304.0238952636719	1.2198952636718445
1.097	303.06	302.2728271484375	0.7871728515625023
